"Plugin","Plugin Name","Family","Severity","IP Address","Protocol","Port","MAC Address","DNS Name","NetBIOS Name","Plugin Output","Synopsis","Description","Steps to Remediate","CVSS V2 Base Score","CVSS V3 Base Score","CVE","Cross References","First Discovered","Last Observed","Vuln Publication Date","Patch Publication Date"
"10107","HTTP Server Type and Version","Web Servers","Info","159.142.67.41","TCP","8443","","e04tcm-vtcmgt.ent.ds.gsa.gov","ent.ds.gsa.gov\E04TCM-VTCMGT","Plugin Output: The remote web server type is :

Media Manager/10.5.2","A web server is running on the remote host.","This plugin attempts to determine the type and the version of the   remote web server.","","","","","IAVT #0001-T-0931","Mar 28, 2025 03:15:54 EDT","Mar 28, 2025 04:07:35 EDT","N/A","N/A"
"10107","HTTP Server Type and Version","Web Servers","Info","159.142.67.41","TCP","8444","","e04tcm-vtcmgt.ent.ds.gsa.gov","ent.ds.gsa.gov\E04TCM-VTCMGT","Plugin Output: The remote web server type is :

Media Manager/10.5.2","A web server is running on the remote host.","This plugin attempts to determine the type and the version of the   remote web server.","","","","","IAVT #0001-T-0931","Mar 28, 2025 03:15:54 EDT","Mar 28, 2025 04:07:35 EDT","N/A","N/A"
"10107","HTTP Server Type and Version","Web Servers","Info","159.142.67.41","TCP","8445","","e04tcm-vtcmgt.ent.ds.gsa.gov","ent.ds.gsa.gov\E04TCM-VTCMGT","Plugin Output: The remote web server type is :

Media Manager/10.5.2","A web server is running on the remote host.","This plugin attempts to determine the type and the version of the   remote web server.","","","","","IAVT #0001-T-0931","Mar 28, 2025 03:15:54 EDT","Mar 28, 2025 04:07:35 EDT","N/A","N/A"
"10107","HTTP Server Type and Version","Web Servers","Info","159.142.67.41","TCP","44405","","e04tcm-vtcmgt.ent.ds.gsa.gov","ent.ds.gsa.gov\E04TCM-VTCMGT","Plugin Output: The remote web server type is :

Jetty(9.4.48.v20220622)","A web server is running on the remote host.","This plugin attempts to determine the type and the version of the   remote web server.","","","","","IAVT #0001-T-0931","Mar 2, 2025 07:07:23 EST","Mar 23, 2025 05:34:48 EDT","N/A","N/A"
"10107","HTTP Server Type and Version","Web Servers","Info","159.142.67.41","TCP","47001","","e04tcm-vtcmgt.ent.ds.gsa.gov","ent.ds.gsa.gov\E04TCM-VTCMGT","Plugin Output: The remote web server type is :

Microsoft-HTTPAPI/2.0","A web server is running on the remote host.","This plugin attempts to determine the type and the version of the   remote web server.","","","","","IAVT #0001-T-0931","May 29, 2024 04:01:25 EDT","Mar 23, 2025 05:34:48 EDT","N/A","N/A"
"10114","ICMP Timestamp Request Remote Date Disclosure","General","Info","159.142.67.41","ICMP","0","","e04tcm-vtcmgt.ent.ds.gsa.gov","ent.ds.gsa.gov\E04TCM-VTCMGT","Plugin Output: This host returns non-standard timestamps (high bit is set)
The ICMP timestamps might be in little endian format (not in network format)
The difference between the local and remote clocks is 66 seconds.","It is possible to determine the exact time set on the remote host.","The remote host answers to an ICMP timestamp request.  This allows an attacker to know the date that is set on the targeted machine, which may assist an unauthenticated, remote attacker in defeating time-based authentication protocols.

Timestamps returned from machines running Windows Vista / 7 / 2008 / 2008 R2 are deliberately incorrect, but usually within 1000 seconds of the actual system time.","Filter out the ICMP timestamp requests (13), and the outgoing ICMP timestamp replies (14).","2.1","","CVE-1999-0524","CWE #200","Mar 28, 2025 03:15:54 EDT","Mar 28, 2025 04:07:35 EDT","Aug 1, 1997 12:00:00 EDT","N/A"
"10150","Windows NetBIOS / SMB Remote Host Information Disclosure","Windows","Info","159.142.67.41","UDP","137","","e04tcm-vtcmgt.ent.ds.gsa.gov","ent.ds.gsa.gov\E04TCM-VTCMGT","Plugin Output: The following 4 NetBIOS names have been gathered :

 E04TCM-VTCMGT    = File Server Service
 E04TCM-VTCMGT    = Computer name
 ENT              = Workgroup / Domain name
 ENT              = Browser Service Elections

The remote host has the following MAC address on its adapter :

   00:50:56:99:f0:a3","It was possible to obtain the network name of the remote host.","The remote host is listening on UDP port 137 or TCP port 445, and replies to NetBIOS nbtscan or SMB requests.

Note that this plugin gathers information to be used in other plugins, but does not itself generate a report.","","","","","","Jul 22, 2022 03:59:07 EDT","Mar 28, 2025 03:15:54 EDT","N/A","N/A"
"10150","Windows NetBIOS / SMB Remote Host Information Disclosure","Windows","Info","159.142.67.41","TCP","445","","e04tcm-vtcmgt.ent.ds.gsa.gov","ent.ds.gsa.gov\E04TCM-VTCMGT","Plugin Output: The following 2 NetBIOS names have been gathered :

 E04TCM-VTCMGT    = Computer name
 ENT              = Workgroup / Domain name","It was possible to obtain the network name of the remote host.","The remote host is listening on UDP port 137 or TCP port 445, and replies to NetBIOS nbtscan or SMB requests.

Note that this plugin gathers information to be used in other plugins, but does not itself generate a report.","","","","","","Jun 20, 2019 18:56:24 EDT","Mar 28, 2025 04:07:35 EDT","N/A","N/A"
"10223","RPC portmapper Service Detection","RPC","Info","159.142.67.41","UDP","111","","e04tcm-vtcmgt.ent.ds.gsa.gov","ent.ds.gsa.gov\E04TCM-VTCMGT","","An ONC RPC portmapper is running on the remote host.","The RPC portmapper is running on this port.

The portmapper allows someone to get the port number of each RPC service running on the remote host by sending either multiple lookup requests or a DUMP request.","","0.0","0.0","CVE-1999-0632","","Mar 28, 2025 03:15:54 EDT","Mar 28, 2025 04:07:35 EDT","N/A","N/A"
"10386","Web Server No 404 Error Code Check","Web Servers","Info","159.142.67.41","TCP","4320","","e04tcm-vtcmgt.ent.ds.gsa.gov","ent.ds.gsa.gov\E04TCM-VTCMGT","Plugin Output: 

CGI scanning will be disabled for this host because the host responds
to requests for non-existent URLs with HTTP code 302
rather than 404. The requested URL was : 

    http://E04TCM-VTCMGT.ent.ds.gsa.gov:4320/87A6nbianhmX.html","The remote web server does not return 404 error codes.","The remote web server is configured such that it does not return '404 Not Found' error codes when a nonexistent file is requested, perhaps returning instead a site map, search page or authentication page.

Nessus has enabled some counter measures for this.  However, they might be insufficient.  If a great number of security holes are produced for this port, they might not all be accurate.","","","","","","May 29, 2024 04:01:25 EDT","Mar 23, 2025 05:34:48 EDT","N/A","N/A"
"10386","Web Server No 404 Error Code Check","Web Servers","Info","159.142.67.41","TCP","8081","","e04tcm-vtcmgt.ent.ds.gsa.gov","ent.ds.gsa.gov\E04TCM-VTCMGT","Plugin Output: 
Unfortunately, Nessus has been unable to find a way to recognize this
page so some CGI-related checks have been disabled.","The remote web server does not return 404 error codes.","The remote web server is configured such that it does not return '404 Not Found' error codes when a nonexistent file is requested, perhaps returning instead a site map, search page or authentication page.

Nessus has enabled some counter measures for this.  However, they might be insufficient.  If a great number of security holes are produced for this port, they might not all be accurate.","","","","","","Mar 28, 2025 03:15:54 EDT","Mar 28, 2025 04:07:35 EDT","N/A","N/A"
"10386","Web Server No 404 Error Code Check","Web Servers","Info","159.142.67.41","TCP","8444","","e04tcm-vtcmgt.ent.ds.gsa.gov","ent.ds.gsa.gov\E04TCM-VTCMGT","Plugin Output: 
Unfortunately, Nessus has been unable to find a way to recognize this
page so some CGI-related checks have been disabled.","The remote web server does not return 404 error codes.","The remote web server is configured such that it does not return '404 Not Found' error codes when a nonexistent file is requested, perhaps returning instead a site map, search page or authentication page.

Nessus has enabled some counter measures for this.  However, they might be insufficient.  If a great number of security holes are produced for this port, they might not all be accurate.","","","","","","Mar 28, 2025 03:15:54 EDT","Mar 28, 2025 04:07:35 EDT","N/A","N/A"
"10386","Web Server No 404 Error Code Check","Web Servers","Info","159.142.67.41","TCP","8445","","e04tcm-vtcmgt.ent.ds.gsa.gov","ent.ds.gsa.gov\E04TCM-VTCMGT","Plugin Output: 
Unfortunately, Nessus has been unable to find a way to recognize this
page so some CGI-related checks have been disabled.","The remote web server does not return 404 error codes.","The remote web server is configured such that it does not return '404 Not Found' error codes when a nonexistent file is requested, perhaps returning instead a site map, search page or authentication page.

Nessus has enabled some counter measures for this.  However, they might be insufficient.  If a great number of security holes are produced for this port, they might not all be accurate.","","","","","","Mar 28, 2025 03:15:54 EDT","Mar 28, 2025 04:07:35 EDT","N/A","N/A"
"10386","Web Server No 404 Error Code Check","Web Servers","Info","159.142.67.41","TCP","44405","","e04tcm-vtcmgt.ent.ds.gsa.gov","ent.ds.gsa.gov\E04TCM-VTCMGT","Plugin Output: 
Unfortunately, Nessus has been unable to find a way to recognize this
page so some CGI-related checks have been disabled.","The remote web server does not return 404 error codes.","The remote web server is configured such that it does not return '404 Not Found' error codes when a nonexistent file is requested, perhaps returning instead a site map, search page or authentication page.

Nessus has enabled some counter measures for this.  However, they might be insufficient.  If a great number of security holes are produced for this port, they might not all be accurate.","","","","","","Mar 2, 2025 07:07:23 EST","Mar 23, 2025 05:34:48 EDT","N/A","N/A"
"10394","Microsoft Windows SMB Log In Possible","Windows","Info","159.142.67.41","TCP","445","","e04tcm-vtcmgt.ent.ds.gsa.gov","ent.ds.gsa.gov\E04TCM-VTCMGT","Plugin Output: - The SMB tests will be done as ENT\E06R6B-SAISOWSS/******","It was possible to log into the remote host.","The remote host is running a Microsoft Windows operating system or Samba, a CIFS/SMB server for Unix. It was possible to log into it using one of the following accounts :

- Guest account
- Supplied credentials","","","","","","Jan 19, 2024 01:03:03 EST","Mar 23, 2025 05:34:48 EDT","N/A","N/A"
"10395","Microsoft Windows SMB Shares Enumeration","Windows","Info","159.142.67.41","TCP","445","","e04tcm-vtcmgt.ent.ds.gsa.gov","ent.ds.gsa.gov\E04TCM-VTCMGT","Plugin Output: 
Here are the SMB shares available on the remote host when logged in as E06R6B-SAISOWSS:

  - ADMIN$
  - C$
  - c380b044-24ec-46e0-b505-a2791a66f20c
  - D$
  - F$
  - IPC$
  - Temp","It is possible to enumerate remote network shares.","By connecting to the remote host, Nessus was able to enumerate the network share names.","","","","","","Mar 2, 2025 07:07:23 EST","Mar 23, 2025 05:34:48 EDT","N/A","N/A"
"10398","Microsoft Windows SMB LsaQueryInformationPolicy Function NULL Session Domain SID Enumeration","Windows","Info","159.142.67.41","TCP","445","","e04tcm-vtcmgt.ent.ds.gsa.gov","ent.ds.gsa.gov\E04TCM-VTCMGT","Plugin Output: The remote domain SID value is : S-1-5-21-1482476501-413027322-682003330","It was possible to obtain the domain SID.","By making or emulating a call to LsaQueryInformationPolicy(), it was possible to obtain the domain SID (Security Identifier).

The domain SID can then be used to get the list of users of the domain.","","","","","","Mar 2, 2025 07:07:23 EST","Mar 23, 2025 05:34:48 EDT","N/A","N/A"
"10400","Microsoft Windows SMB Registry Remotely Accessible","Windows","Info","159.142.67.41","TCP","445","","e04tcm-vtcmgt.ent.ds.gsa.gov","ent.ds.gsa.gov\E04TCM-VTCMGT","","Access the remote Windows Registry.","It was possible to access the remote Windows Registry using the login / password combination used for the Windows local checks (SMB tests).","","","","","","Jan 19, 2024 01:03:03 EST","Mar 23, 2025 05:34:48 EDT","N/A","N/A"
"10437","NFS Share Export List","RPC","Info","159.142.67.41","TCP","2049","","e04tcm-vtcmgt.ent.ds.gsa.gov","ent.ds.gsa.gov\E04TCM-VTCMGT","Plugin Output: 
Here is the export list of E04TCM-VTCMGT.ent.ds.gsa.gov :
  
  /Single_Split_Recordings 172.30.74.109
  /recordings 172.30.54.46, 172.30.74.109","The remote NFS server exports a list of shares.","This plugin retrieves the list of NFS exported shares.","Ensure each share is intended to be exported.","","","","","Mar 28, 2025 03:15:54 EDT","Mar 28, 2025 04:07:35 EDT","N/A","N/A"
"10785","Microsoft Windows SMB NativeLanManager Remote System Information Disclosure","Windows","Info","159.142.67.41","TCP","445","","e04tcm-vtcmgt.ent.ds.gsa.gov","ent.ds.gsa.gov\E04TCM-VTCMGT","Plugin Output: Nessus was able to obtain the following information about the host, by 
parsing the SMB2 Protocol's NTLM SSP message:

	Target Name: ENT
	NetBIOS Domain Name: ENT
	NetBIOS Computer Name: E04TCM-VTCMGT
	DNS Domain Name: ent.ds.gsa.gov
	DNS Computer Name: E04TCM-VTCMGT.ent.ds.gsa.gov
	DNS Tree Name: ds.gsa.gov
	Product Version: 10.0.20348","It was possible to obtain information about the remote operating system.","Nessus was able to obtain the remote operating system name and version (Windows and/or Samba) by sending an authentication request to port 139 or 445. Note that this plugin requires SMB to be enabled on the host.","","","","","","Aug 13, 2021 00:19:33 EDT","Mar 28, 2025 04:07:35 EDT","N/A","N/A"
"10859","Microsoft Windows SMB LsaQueryInformationPolicy Function SID Enumeration","Windows","Info","159.142.67.41","TCP","445","","e04tcm-vtcmgt.ent.ds.gsa.gov","ent.ds.gsa.gov\E04TCM-VTCMGT","Plugin Output: 
The remote host SID value is : S-1-5-21-30630316-2409600434-3763027536

The value of 'RestrictAnonymous' setting is : 1","It is possible to obtain the host SID for the remote host.","By emulating the call to LsaQueryInformationPolicy(), it was possible to obtain the host SID (Security Identifier).

The host SID can then be used to get the list of local users.","You can prevent anonymous lookups of the host SID by setting the 'RestrictAnonymous' registry setting to an appropriate value.

Refer to the 'See also' section for guidance.","","","","","Mar 2, 2025 07:07:23 EST","Mar 23, 2025 05:34:48 EDT","N/A","N/A"
